"","evangelical","attend","prayschool","literal","male","white","coldeg","repubid","age"
"272",0,1,0,0,1,1,1,3,29
"273",0,1,0,0,1,0,1,1,26
"274",0,0,1,0,1,1,1,3,24
"275",0,4,0,1,0,0,0,2,38
"276",0,7,0,0,0,0,0,0,60
"277",0,4,0,0,0,0,0,0,48
"278",1,7,0,1,0,0,0,0,61
"279",0,7,0,1,0,0,0,0,59
"280",0,6,0,0,0,0,0,0,59
"281",0,4,0,1,0,0,0,5,31
"282",0,3,0,0,0,0,0,2,34
"283",1,4.95271183169272,0,0,1,0,1,3,46.6214904679376
"284",0,7,1,0,1,0,0,3,32
"285",0,7,0,1,0,0,0,4,18
"286",0,3,0,0,1,0,0,0,32
"287",0,1,0,0,1,0,0,3,42
"288",0,4,0,0,0,0,0,2,38
"289",0,4,0,0,1,0,0,1,25
"290",0,2,0,1,0,0,0,1,54
"291",0,0,1,0,1,0,0,1,47
"292",0,2,0,1,1,0,0,0,31
"293",0,5,0,0,0,0,1,3,40
"294",0,2,1,0,0,0,0,0,60
"295",0,3,0,0,0,1,0,5,34
"296",0,0,0,0,1,1,0,6,36
"297",0,7,0,0,0,0,0,0,43
"298",0,4,0,0,1,0,0,0,28
"299",0,2,0,1,0,0,0,1,34
"300",0,3,0,1,0,0,0,0,44
"301",0,2.39943208707998,0,0,0,0,0,0,22
"302",0,3,1,1,0,0,0,4,24
"303",0,0,1,0,0,0,0,3,31
"304",0,2,1,0,1,1,0,1,45
"305",0,3.26471028597095,0,0,0,1,1,5,71
"306",0,7,0,0,1,1,1,4,65
"307",0,8,0,0,0,1,0,1,40
"308",0,0,0,0,1,1,1,3,59
"309",0,6,0,0,0,1,1,5,38
"310",0,3,0,0,0,1,1,2,73
"311",0,5,0,0,0,1,1,5,31
"312",0,5,0,0,0,1,1,4,44
"313",0,3,1,0,0,1,1,2,34
"314",1,6,0,0,0,1,1,2,26
"315",0,6,0,1,1,0,0,1,38
"316",0,0,1,0,0,1,1,2,29
"317",0,7,1,0,1,0,1,2,36
"318",0,0,0,0,1,1,1,0,32
"319",0,5,0,0,0,1,0,2,26
"320",0,7,0,0,1,1,1,3,47
"321",0,1,0,0,0,1,1,1,37
"322",0,3,0,0,0,1,1,0,29
"323",0,1,0,0,1,0,1,4,37
"324",1,5,0,1,1,1,0,6,35
"325",0,2,0,1,1,1,1,6,68
"326",0,6,0,0,0,1,1,3,26
"327",0,3,0,0,1,1,1,4,84
"328",0,7,0,0,1,0,0,5,23
"329",1,2,1,1,1,1,0,0,22
"330",0,0,0,0,1,1,0,6,42
"331",0,4,0,0,0,1,0,3,53
"332",0,0,1,0,1,1,0,3,43
"333",0,5,0,1,1,1,0,1,49
"334",0,7,0,0,1,1,0,1,74
"335",1,7,0,0,0,1,1,6,47
"336",0,7,0,0,1,1,0,3,37
"337",0,2,1,0,1,1,0,4,42
"338",0,2,0,0,1,1,0,1,18
"339",0,1,1,0,0,1,0,3,22
"340",0,0,0,0,1,1,1,3,51
"341",0,1,0,0,1,1,0,4,30
"342",0,0,1,0,1,1,0,3,59
"343",1,7,0,0,1,1,0,3,52
"344",0,0,0,0,0,1,0,3,58
"345",0,0,1,0,1,1,0,3,40
"346",0,2,0,0,1,1,0,6,63
"347",0,7,0,0,0,1,0,4,56
"348",0,1,0,0,1,1,1,4,25
"349",1,4,0,0,0,0,0,1,28
"350",0,4,0,0,0,1,0,6,67
"351",0,2,0,0,0,1,0,4,37
"352",0,0,0,0,1,0,0,2,72
"353",0,7,1,0,0,1,0,4,54
"354",1,4,0,1,1,1,0,3,19
"355",0,5,1,1,0,0,0,1,44
"356",0,3,0,1,1,1,1,5,42
"357",0,5,0,0,1,1,0,3,19
"358",0,5,0,0,0,1,1,5,43
"359",0,5,0,1,0,1,0,3,59
"360",1,7,0,1,0,1,0,3,52
"361",0,3,0,0,1,1,0,2,40
"362",0,0,1,0,0,1,1,1,51
"363",0,2,0,0,1,1,0,1,50
"364",0,1,0,0,1,1,1,4,45
"365",0,1,1,0,0,1,1,0,36
"366",1,2,1,0,1,1,1,3,45
"367",0,2,0,0,1,1,1,1,71
"368",0,2,0,0,1,0,0,1,58
"369",1,7,0,1,0,1,0,5,31
"370",0,0,0,0,0,1,0,3,25
"371",0,3,0,0,0,0,1,1,34
"372",0,0,0,1,1,1,1,3,48
"373",0,4,0,0,1,1,1,2,26
"374",0,0,1,0,1,1,1,3,35
"375",0,3,0,0,1,1,1,0,42
"376",0,0,0,0,1,0,0,3,52
"377",0,3,1,0,0,1,1,3,27
"378",0,0,0,0,1,1,0,0,44
"379",0,2,1,0,0,0,0,0,38
"380",0,8,0,1,1,0,1,2,75
"381",0,7,0,0,0,0,1,4,42
"382",0,1,0,1,0,1,0,5,89
"383",0,2,1,0,0,1,0,5,52
"384",0,0,0,0,1,1,0,1,74
"385",0,0,1,0,1,1,1,6,61
"386",0,2,0,0,0,1,0,6,76
"387",0,5,0,0,0,0,0,1,50
"388",0,7,0,0,1,1,0,1,44
"389",0,3.26471028597095,0,0,0,1,1,3,38
"390",0,7,0,0,0,0,0,5,53
"391",0,3,0,0,0,1,0,1,71
"392",0,7,0,0,0,1,0,3,73
"393",0,5,1,1,0,1,0,3,43
"394",0,3,0,0,1,1,1,4,36
"395",0,2,1,0,0,1,1,0,40
"396",0,2.39943208707998,1,0,0,1,0,5,42
"397",0,6,0,0,0,1,0,5,68
"398",0,0,1,0,0,1,0,0,45
"399",0,0,0,0,0,1,0,3,34
"400",1,3,0,0,0,1,1,1,26
"401",0,0,1,0,0,1,1,3,49
"402",1,8,0,0,0,1,1,3,59
"403",0,0,0,0,1,1,0,1,45
"404",0,3.26471028597095,0,0,1,1,0,3,77
"405",0,3,0,0,1,0,0,1,56
"406",0,0,0,1,1,0,0,2,48
"407",1,6,0,1,1,1,0,3,57
"408",0,1,0,0,1,0,1,5,37
"409",0,3,1,0,0,0,0,1,35
"410",0,2,0,1,0,0,1,5,42
"411",1,5,1,1,0,1,0,6,46
"412",0,7,0,0,1,1,0,1,53
"413",0,6,0,1,1,1,0,6,28
"414",0,7,0,0,0,1,1,1,54
"415",0,8,0,0,0,1,1,2,38
"416",0,5,1,0,0,1,0,1,32
"417",0,0,0,0,0,1,1,5,53
"418",0,2,0,0,0,1,0,2,20
"419",0,1,0,0,0,1,0,6,40
"420",0,0,0,0,0,1,1,1,46
"421",1,4,1,0,1,1,1,4,41
"422",0,4,0,0,0,1,0,5,29
"423",1,5,0,0,0,1,0,1,53
"424",0,0,1,0,1,1,1,3,73
"425",0,3,0,1,0,1,0,0,58
"426",0,2.39943208707998,0,0,0,1,0,1,58
"427",0,5,0,0,0,1,0,5,52
"428",0,7,1,0,1,1,0,2,35
"429",0,2,0,0,1,0,1,0,37
"430",0,7,0,0,1,0,0,1,41
"431",0,1,1,0,0,1,0,0,38
"432",0,4.26172125883109,1,1,0,1,1,3,34
"433",0,7,0,0,1,0,1,1,39
"434",0,5,0,0,1,1,0,5,56
"435",1,8,0,1,0,1,0,3,52
"436",0,2,1,0,0,1,0,4,36
"437",0,0,1,0,1,0,0,3,20
"438",0,7,0,0,1,1,0,6,28
"439",0,0,0,1,0,0,0,0,38
"440",1,2,0,0,0,1,0,1,79
"441",0,7,0,1,0,1,0,0,84
"442",0,3,0,0,1,1,1,5,61
"443",0,0,1,0,0,1,0,2,47
"444",1,4.95271183169272,0,1,0,1,0,3,20
"445",0,5,0,1,1,0,0,1,38
"446",0,4,1,0,1,1,1,0,38
"447",0,7,0,1,0,1,1,6,70
"448",0,8,0,0,0,1,0,5,54
"449",0,0,0,0,0,1,0,0,32
"450",0,0,1,0,0,1,0,3,31
"451",0,0,1,0,1,0,0,0,26
"452",0,2.39943208707998,0,0,0,1,0,0,84
"453",0,0,0,0,0,0,0,6,42
"454",0,0,0,0,0,0,0,5,41
"455",0,0,0,0,0,1,0,3,32
"456",0,3,0,0,0,1,0,6,25
"457",0,2,0,1,1,1,0,3,51
"458",0,0,0,0,1,1,0,3,30
"459",0,2,0,1,0,1,0,3,34
"460",0,7,1,1,1,1,1,5,52
"461",1,1,0,1,0,1,0,3,52
"462",1,7,0,1,0,1,0,6,79
"463",1,6,1,1,0,0,0,1,26
"464",1,6,0,0,0,0,0,0,32
"465",0,2.39943208707998,0,0,1,1,0,5,37
"466",0,0,1,1,0,0,0,2,23
"467",0,3.26471028597095,0,0,1,0,0,3,32
"468",1,6,0,1,0,0,0,1,21
"469",0,4,0,0,0,0,0,2,24
"470",0,3.26471028597095,1,0,0,0,1,0,28
"471",1,8,1,1,1,0,0,0,35
"472",0,7,0,1,1,0,1,0,48
"473",0,0,0,0,1,1,0,3,30
"474",0,2,0,0,0,1,0,3,57
"475",0,2,0,0,1,0,0,1,46
"476",0,3,0,0,0,0,1,1,49
"477",0,3,0,0,1,0,0,5,20
"478",0,4,0,0,0,1,0,6,74
"479",0,0,1,0,1,1,0,5,53
"480",0,7,0,0,1,0,1,6,66
"481",0,7,0,0,0,1,1,6,27
"482",1,8,0,1,0,1,0,6,25
"483",0,0,0,1,0,1,0,1,54
"484",0,7,0,0,0,1,0,1,19
"485",0,0,0,0,1,0,1,1,51
"486",0,4,0,1,1,0,0,0,31
"487",0,3,0,1,0,1,0,1,31
"488",0,1,0,1,1,0,0,0,36
